dor no peito|dor toracica|queimacao no peito|pressao toracica|aperto toracico,suor frio|sudorese|sudorese profusa,Infarto agudo do miocardio
dor no peito|dor toracica|pressao toracica,nausea|enjoo|vomito,Infarto agudo do miocardio
dor no peito|dor toracica,fadiga|cansaco extremo|exaustao,Infarto agudo do miocardio
falta de ar|dispneia|dificuldade para respirar,inchaco nos tornozelos|edema nas pernas|inchaco nos pes,Insuficiencia cardiaca congestiva
falta de ar|dispneia,fadiga|cansaco constante|exaustao,Insuficiencia cardiaca
fadiga|cansaco extremo,tosse persistente|tosse com sangue,Insuficiencia cardiaca
dor no peito|dor toracica,falta de ar ao deitar|dispneia noturna,Insuficiencia cardiaca
palpitacoes|batimentos irregulares|coracao acelerado,tontura|vertigem|sensacao de desmaio,Arritmia cardiaca
palpitacoes|batimentos rapidos,falta de ar|dispneia,Taquicardia
batimentos irregulares|palpitacoes,desmaio|sincope|perda de consciencia,Fibrilacao atrial
dor no peito|dor toracica,dor que piora com esforco|dor ao subir escadas,Angina estavel
dor no peito|pressao toracica,dor que melhora com repouso|dor aliviada ao descansar,Angina estavel
dor toracica|dor no peito,dor que irradia para braco|dor que vai para mandibula|dor que vai para pescoco,Angina instavel
falta de ar|dispneia,dor toracica ao esforco|dor no peito ao caminhar,Angina de esforco
suor frio|sudorese profusa,tontura|vertigem|mal estar,Crise hipertensiva
dor de cabeca intensa|cefaleia forte,visao turva|vista embacada,Crise hipertensiva
falta de ar subita|dispneia aguda,tosse com sangue|expectoracao com sangue,Edema pulmonar agudo
falta de ar ao deitar|ortopneia,tosse noturna|tosse que acorda a noite,Edema pulmonar
palpitacoes|taquicardia,ansiedade|nervosismo|inquietacao,Taquicardia sinusal
batimentos muito rapidos|taquicardia extrema,falta de ar|dispneia,Taquicardia ventricular
dor toracica|dor no peito,piora ao respirar fundo|dor ao inspirar|dor que piora com tosse,Pericardite
dor toracica|dor no peito,febre|temperatura elevada,Pericardite aguda
fadiga|cansaco,intolerancia ao exercicio|cansaco ao fazer esforco,Cardiomiopatia
falta de ar|dispneia,inchaco abdominal|barriga inchada|ascite,Cardiomiopatia dilatada
dor nas pernas ao caminhar|claudicacao,pernas frias|extremidades geladas,Doenca arterial periferica
dor nas pernas|dor ao andar,feridas que nao cicatrizam nas pernas|ulceras,Insuficiencia arterial
pressao alta|hipertensao,dor de cabeca|cefaleia,Hipertensao arterial
pressao alta|hipertensao,zumbido no ouvido|tinitus,Hipertensao arterial
tontura|vertigem,desmaio|sincope,Hipotensao arterial
fraqueza|astenia,visao escurecida|vista escura ao levantar,Hipotensao ortostatica
