Frase,Sintomas_Encontrados,Diagnóstico_Sugerido,Pontuação
﻿Ha quatro dias sinto uma dor toracica intensa que se espalha para o braco esquerdo acompanhada de nausea forte e sudorese profusa que nao para,dor toracica;nausea;sudorese;sudorese profusa,Infarto agudo do miocardio,10.0
Desde ontem a noite percebo batimentos irregulares muito rapidos no peito com episodios de tontura e vertigem especialmente quando me deito para dormir,batimentos irregulares;tontura;vertigem,Arritmia cardiaca,8.0
Ha uma semana tenho falta de ar progressiva que piora ao subir escadas e meus tornozelos estao com inchaco visivel ao final de cada dia,falta de ar,Insuficiencia cardiaca congestiva,3.5
Desde a manha sinto uma pressao toracica que aumenta quando faco qualquer esforco leve e fico extremamente cansado mesmo descansando,pressao toracica,Infarto agudo do miocardio,3.5
Nos ultimos tres dias tive crises repetidas de dor no peito com sudorese profusa e sensacao de que vou desmaiar a qualquer momento,dor no peito;sudorese;sudorese profusa,Infarto agudo do miocardio,8.0
Sinto fadiga extrema ha dias com dificuldade para respirar ao caminhar distancias curtas e noto acumulo de liquido nas pernas toda noite,fadiga,Insuficiencia cardiaca,3.5
Ha dois dias percebo uma dor toracica que piora significativamente ao deitar melhora um pouco com repouso mas nao passa com medicamentos antiespasmódicos,dor toracica,Infarto agudo do miocardio,3.5
Apos uma infeccao viral recente sinto queimacao no peito palpitacoes frequentes e falta de ar que vai e vem ao longo do dia,falta de ar;palpitacoes,Taquicardia,6.0
Sinto um desconforto toracico persistente que irradia para a mandibula e pescoco com sudorese constante e mal estar geral que nao melhora,sudorese,Infarto agudo do miocardio,3.5
Nos ultimos dias notei batimentos irregulares no coracao tontura ao levantar rapido e sensacao de aperto toracico sempre que faco algum esforco fisico,batimentos irregulares;tontura,Arritmia cardiaca,6.0
